theme_id,theme_name,quote_code,stock_name,membership,role
memory,記憶體,2408,南亞科,core,DRAM原廠
memory,記憶體,2344,華邦電,core,利基型DRAM與NOR Flash
memory,記憶體,2337,旺宏,core,NOR Flash與NAND Flash
memory,記憶體,8299,群聯,core,NAND控制器與儲存方案
memory,記憶體,3260,威剛,core,記憶體模組
memory,記憶體,4967,十銓,core,記憶體模組
memory,記憶體,5289,宜鼎,core,工控記憶體與儲存
memory,記憶體,2451,創見,core,記憶體模組與工控儲存
memory,記憶體,3006,晶豪科,core,利基型記憶體IC
memory,記憶體,6531,愛普*,core,利基型記憶體與PIM
memory,記憶體,5351,鈺創,core,利基型DRAM設計
memory,記憶體,8271,宇瞻,core,工控記憶體模組
memory,記憶體,6485,點序,core,NAND控制器
memory,記憶體,6239,力成,adjacent,記憶體封裝測試
memory,記憶體,8110,華東,adjacent,記憶體封裝測試
memory,記憶體,6770,力積電,adjacent,成熟製程與記憶體製造
pcb_material,高階PCB材料,1802,台玻,core,玻纖布
pcb_material,高階PCB材料,1815,富喬,core,電子級玻纖布
pcb_material,高階PCB材料,5475,德宏,core,電子級玻纖布
pcb_material,高階PCB材料,5340,建榮,core,電子級玻纖布
pcb_material,高階PCB材料,2383,台光電,core,高階CCL
pcb_material,高階PCB材料,6274,台燿,core,高階CCL
pcb_material,高階PCB材料,6213,聯茂,core,高階CCL
pcb_material,高階PCB材料,6672,騰輝電子-KY,core,特殊材料CCL
pcb_material,高階PCB材料,8358,金居,core,銅箔
pcb_material,高階PCB材料,1303,南亞,adjacent,銅箔與樹脂材料
pcb_material,高階PCB材料,1717,長興,adjacent,樹脂與電子材料
pcb_material,高階PCB材料,4764,雙鍵,adjacent,特用化學與材料添加劑
pcb_material,高階PCB材料,8039,台虹,adjacent,軟板材料FCCL
pcb_material,高階PCB材料,4939,亞電,adjacent,軟板材料
pcb_board,PCB與伺服器板,2368,金像電,core,AI伺服器PCB
pcb_board,PCB與伺服器板,2313,華通,core,HDI與衛星PCB
pcb_board,PCB與伺服器板,4958,臻鼎-KY,core,綜合PCB
pcb_board,PCB與伺服器板,3715,定穎投控,core,伺服器與車用PCB
pcb_board,PCB與伺服器板,2367,燿華,core,HDI與衛星PCB
pcb_board,PCB與伺服器板,3044,健鼎,core,多層PCB
pcb_board,PCB與伺服器板,5469,瀚宇博,core,伺服器PCB
pcb_board,PCB與伺服器板,6191,精成科,core,多層PCB
pcb_board,PCB與伺服器板,2355,敬鵬,adjacent,車用與衛星PCB
pcb_board,PCB與伺服器板,8021,尖點,adjacent,鑽針與PCB製程
abf_substrate,ABF與BT載板,3037,欣興,core,ABF與BT載板
abf_substrate,ABF與BT載板,8046,南電,core,ABF與BT載板
abf_substrate,ABF與BT載板,3189,景碩,core,ABF與BT載板
passive,被動元件,2327,國巨*,core,MLCC與晶片電阻
passive,被動元件,2492,華新科,core,MLCC與晶片電阻
passive,被動元件,3026,禾伸堂,core,MLCC
passive,被動元件,6173,信昌電,core,MLCC
passive,被動元件,6834,天二科技,core,晶片電阻
passive,被動元件,2375,凱美,core,電容與電阻
passive,被動元件,2472,立隆電,core,鋁質電解電容
passive,被動元件,6449,鈺邦,core,固態電容
passive,被動元件,5328,華容,core,電容
passive,被動元件,2428,興勤,adjacent,保護與感測元件
passive,被動元件,6127,九豪,adjacent,陶瓷基板與被動元件
passive,被動元件,3090,日電貿,adjacent,被動元件通路
silicon_wafer,矽晶圓,6488,環球晶,core,半導體矽晶圓
silicon_wafer,矽晶圓,3532,台勝科,core,半導體矽晶圓
silicon_wafer,矽晶圓,6182,合晶,core,半導體矽晶圓
silicon_wafer,矽晶圓,3016,嘉晶,core,磊晶與矽晶圓
silicon_wafer,矽晶圓,5483,中美晶,adjacent,環球晶母公司與材料
silicon_wafer,矽晶圓,8028,昇陽半導體,adjacent,再生晶圓
cpo,CPO與矽光子,3081,聯亞,core,光通訊磊晶
cpo,CPO與矽光子,4979,華星光,core,高速光模組
cpo,CPO與矽光子,3163,波若威,core,被動光元件
cpo,CPO與矽光子,3450,聯鈞,core,光通訊元件與封裝
cpo,CPO與矽光子,6442,光聖,core,光通訊連接元件
cpo,CPO與矽光子,3363,上詮,core,光纖陣列與FAU
cpo,CPO與矽光子,4977,眾達-KY,core,高速光收發模組
cpo,CPO與矽光子,4971,IET-KY,core,化合物半導體磊晶
cpo,CPO與矽光子,3234,光環,core,光通訊元件
cpo,CPO與矽光子,6426,統新,core,光學鍍膜元件
cpo,CPO與矽光子,2455,全新,adjacent,砷化鎵磊晶
cpo,CPO與矽光子,3105,穩懋,adjacent,化合物半導體晶圓代工
cpo,CPO與矽光子,4991,環宇-KY,adjacent,化合物半導體
cpo,CPO與矽光子,3008,大立光,adjacent,精密光學與FAU新題材
cpo,CPO與矽光子,3711,日月光投控,adjacent,CPO封裝整合
semi_equipment,半導體設備廠務測試,1560,中砂,core,再生晶圓與鑽石碟
semi_equipment,半導體設備廠務測試,3680,家登,core,晶圓載具與EUV光罩盒
semi_equipment,半導體設備廠務測試,3583,辛耘,core,半導體設備
semi_equipment,半導體設備廠務測試,3131,弘塑,core,濕製程設備
semi_equipment,半導體設備廠務測試,6187,萬潤,core,封裝設備
semi_equipment,半導體設備廠務測試,6640,均華,core,封裝設備
semi_equipment,半導體設備廠務測試,2467,志聖,core,熱製程設備
semi_equipment,半導體設備廠務測試,5536,聖暉*,core,無塵室與廠務
semi_equipment,半導體設備廠務測試,6613,朋億*,core,高科技廠務
semi_equipment,半導體設備廠務測試,3402,漢科,core,高科技廠務
semi_equipment,半導體設備廠務測試,7769,鴻勁,core,測試分選設備
semi_equipment,半導體設備廠務測試,2360,致茂,core,量測與測試設備
semi_equipment,半導體設備廠務測試,6223,旺矽,core,探針卡
semi_equipment,半導體設備廠務測試,6515,穎崴,core,測試座與介面
semi_equipment,半導體設備廠務測試,6510,精測,core,探針卡與測試介面
semi_equipment,半導體設備廠務測試,6683,雍智科技,core,測試介面
advanced_packaging,先進封裝與專業封測,3711,日月光投控,core,先進封裝與測試
advanced_packaging,先進封裝與專業封測,2449,京元電子,core,晶片測試
advanced_packaging,先進封裝與專業封測,3374,精材,core,晶圓級封裝
advanced_packaging,先進封裝與專業封測,6239,力成,core,記憶體封裝測試
advanced_packaging,先進封裝與專業封測,6257,矽格,core,IC封裝測試
advanced_packaging,先進封裝與專業封測,3264,欣銓,core,IC測試
advanced_packaging,先進封裝與專業封測,2329,華泰,core,IC封裝測試
advanced_packaging,先進封裝與專業封測,8150,南茂,core,記憶體與驅動IC封測
advanced_packaging,先進封裝與專業封測,6147,頎邦,core,驅動IC封測
ai_server,AI伺服器與機構件,6669,緯穎,core,雲端伺服器ODM
ai_server,AI伺服器與機構件,2382,廣達,core,AI伺服器ODM
ai_server,AI伺服器與機構件,3231,緯創,core,AI伺服器ODM
ai_server,AI伺服器與機構件,2317,鴻海,core,AI伺服器與機櫃整合
ai_server,AI伺服器與機構件,2356,英業達,core,伺服器ODM
ai_server,AI伺服器與機構件,2376,技嘉,adjacent,伺服器與板卡
ai_server,AI伺服器與機構件,2357,華碩,adjacent,伺服器與板卡
ai_server,AI伺服器與機構件,8210,勤誠,core,伺服器機殼
ai_server,AI伺服器與機構件,3013,晟銘電,core,伺服器機殼與機櫃
ai_server,AI伺服器與機構件,6117,迎廣,core,伺服器機殼
ai_server,AI伺服器與機構件,3693,營邦,core,伺服器機殼
ai_server,AI伺服器與機構件,2059,川湖,core,伺服器滑軌
ai_server,AI伺服器與機構件,3533,嘉澤,core,伺服器連接器
ai_server,AI伺服器與機構件,6805,富世達,adjacent,伺服器機構件
cooling,液冷與散熱,3017,奇鋐,core,液冷與氣冷散熱
cooling,液冷與散熱,3324,雙鴻,core,液冷與氣冷散熱
cooling,液冷與散熱,3653,健策,core,均熱與散熱零件
cooling,液冷與散熱,8996,高力,core,熱交換器
cooling,液冷與散熱,2421,建準,core,風扇與散熱
